station_name,station_lat,station_lon,nearest_river,pub_name,pub_lat,pub_lon,distance_to_pub_m
Amberley,50.8986123,-0.539083,River Arun,The Labouring Man,50.9398921,-0.5413591,4595.03112337
Amberley,50.8986123,-0.539083,River Arun,The Labouring Man,50.9398921,-0.5413591,4595.03112337
Amberley,50.8966534,-0.5419326,River Arun,The Labouring Man,50.9398921,-0.5413591,4810.33224368
Amberley,50.8966534,-0.5419326,River Arun,The Labouring Man,50.9398921,-0.5413591,4810.33224368
Billingshurst,51.0151333,-0.4495061,Western Adur,The Railway Inn,51.0150973,-0.4508568,94.86976552
Billingshurst,51.0151333,-0.4495061,Western Adur,The Railway Inn,51.0150973,-0.4508568,94.86976552
Billingshurst,51.0151333,-0.4495061,Western Adur,The Kings Arms,51.022357,-0.4521458,824.69673663
Billingshurst,51.0151333,-0.4495061,Western Adur,The Kings Arms,51.022357,-0.4521458,824.69673663
Billingshurst,51.0151333,-0.4495061,Western Adur,The Billi Tap,51.023683,-0.4511266,957.91527253
Brockham,50.900947,-0.5356577,River Arun,The Labouring Man,50.9398921,-0.5413591,4351.02543073
Brockham,50.900947,-0.5356577,River Arun,The Labouring Man,50.9398921,-0.5413591,4351.02543073
Cragside,50.900274,-0.5345047,River Arun,The Labouring Man,50.9398921,-0.5413591,4433.66140254
Cragside,50.900274,-0.5345047,River Arun,The Labouring Man,50.9398921,-0.5413591,4433.66140254
Pulborough,50.9575905,-0.5164713,River Arun,The Labouring Man,50.9398921,-0.5413591,2633.53940216
Pulborough,50.9575905,-0.5164713,River Arun,The Labouring Man,50.9398921,-0.5413591,2633.53940216
Stopham Road,50.9547688,-0.5303248,River Arun,The Labouring Man,50.9398921,-0.5413591,1827.65853493
Stopham Road,50.9547688,-0.5303248,River Arun,The Labouring Man,50.9398921,-0.5413591,1827.65853493
